income,monthly_expenses,distance_to_college_work,travel_time_by_bus,transport_cost,bus_frequency,family_size,current_vehicle,loan_payment,savings,debt_focus,emergency_fund_status,investment_advice,car_recommendation
1220.0,880.0,14.5,88.0,26.0,0.2,2,motorbike,540.0,0.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
2930.0,1210.0,24.8,108.0,31.0,2.3,1,car,0.0,1697.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Consider later
950.0,550.0,36.8,141.0,63.0,4.1,1,none,370.0,29.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
1300.0,700.0,22.0,87.0,23.0,1.0,3,motorbike,350.0,212.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car recommended
1800.0,780.0,32.7,131.0,48.0,1.0,2,car,0.0,814.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
4200.0,2380.0,3.7,20.0,5.0,4.2,3,car,1220.0,545.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car not recommended
1690.0,1260.0,25.2,99.0,59.0,0.7,1,motorbike,0.0,233.0,Debt is manageable,Emergency fund adequate,Invest moderately,Car recommended
3330.0,2440.0,3.7,35.0,11.0,1.0,4,none,0.0,670.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Consider later
1270.0,920.0,4.9,67.0,13.0,0.6,1,none,180.0,168.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Car recommended
2490.0,1520.0,16.8,74.0,14.0,1.0,1,motorbike,0.0,889.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
2740.0,1410.0,15.1,46.0,32.0,4.2,5,bicycle,0.0,795.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
1760.0,1190.0,29.0,149.0,36.0,0.1,3,none,700.0,0.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Consider later
850.0,520.0,25.7,70.0,36.0,3.0,1,none,0.0,141.0,Debt is manageable,Build emergency fund,Invest moderately,Car recommended
3730.0,2260.0,26.1,126.0,59.0,0.3,3,motorbike,0.0,1181.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
1370.0,880.0,36.1,137.0,84.0,1.2,3,motorbike,550.0,0.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
6190.0,3350.0,25.7,82.0,58.0,1.0,6,none,0.0,2224.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
2310.0,1280.0,18.7,73.0,36.0,0.7,1,none,540.0,400.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Car recommended
5800.0,2630.0,33.5,103.0,45.0,2.9,5,none,2410.0,471.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
3300.0,2490.0,11.3,87.0,31.0,0.3,3,none,0.0,790.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
1970.0,1210.0,44.5,180.0,96.0,0.2,3,none,830.0,12.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
1000.0,710.0,13.7,44.0,33.0,2.7,2,motorbike,270.0,5.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Car not recommended
1210.0,480.0,24.2,92.0,49.0,1.5,1,car,0.0,600.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Consider later
3060.0,1730.0,5.3,46.0,16.0,1.0,3,car,0.0,1107.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car not recommended
3950.0,1550.0,21.2,86.0,15.0,3.6,4,none,0.0,2224.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
6720.0,3150.0,44.8,127.0,81.0,1.5,6,none,0.0,3103.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
3570.0,2060.0,26.4,126.0,60.0,1.2,5,none,0.0,852.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
2860.0,1880.0,21.2,79.0,35.0,3.8,2,none,700.0,199.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Car recommended
5710.0,2570.0,35.8,92.0,54.0,3.4,4,bicycle,0.0,2618.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
3010.0,1580.0,6.3,16.0,17.0,4.5,1,none,0.0,1399.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Consider later
2740.0,1550.0,27.6,96.0,41.0,0.9,3,none,610.0,506.0,Debt is manageable,Emergency fund adequate,Do not invest aggressively,Car recommended
1690.0,900.0,6.2,32.0,7.0,5.1,1,motorbike,0.0,478.0,Debt is manageable,Emergency fund adequate,Invest moderately,Car recommended
5770.0,2320.0,13.4,68.0,24.0,0.9,5,none,0.0,3422.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
3760.0,2300.0,34.8,132.0,64.0,0.4,3,none,1620.0,70.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
2750.0,1830.0,30.0,106.0,57.0,1.6,2,car,0.0,736.0,Debt is manageable,Emergency fund adequate,Invest moderately,Car recommended
3790.0,1780.0,21.8,75.0,28.0,1.2,4,motorbike,0.0,1501.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
3330.0,2380.0,15.0,47.0,11.0,6.4,2,motorbike,0.0,941.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Consider later
3030.0,1770.0,16.3,109.0,34.0,0.1,3,bicycle,1270.0,7.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
5270.0,3840.0,3.3,37.0,7.0,0.7,3,none,1890.0,20.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car not recommended
1950.0,1370.0,43.0,133.0,91.0,1.0,2,none,0.0,304.0,Debt is manageable,Emergency fund adequate,Invest moderately,Car recommended
1200.0,580.0,17.0,111.0,12.0,0.3,2,car,550.0,48.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car not recommended
1190.0,450.0,26.2,94.0,41.0,1.8,1,bicycle,0.0,589.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
460.0,400.0,35.8,137.0,79.0,1.8,2,motorbike,240.0,13.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
3140.0,1130.0,30.3,154.0,75.0,0.3,1,motorbike,0.0,1894.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
6480.0,4610.0,18.6,121.0,32.0,0.3,6,none,0.0,1817.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
1200.0,840.0,40.3,180.0,53.0,0.5,2,none,0.0,186.0,Debt is manageable,Build emergency fund,Invest aggressively,Car recommended
5430.0,2920.0,18.4,108.0,32.0,0.6,5,none,1070.0,938.0,Debt is manageable,Emergency fund adequate,Do not invest aggressively,Car recommended
690.0,370.0,11.7,100.0,23.0,0.2,2,none,100.0,159.0,Debt is manageable,Emergency fund adequate,Invest moderately,Car recommended
920.0,430.0,28.5,124.0,55.0,0.2,2,car,0.0,480.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
480.0,200.0,25.7,69.0,43.0,4.2,1,motorbike,190.0,64.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
1190.0,650.0,38.4,116.0,50.0,3.1,1,motorbike,0.0,475.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
1080.0,700.0,3.6,27.0,5.0,1.7,1,motorbike,280.0,32.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Car not recommended
2910.0,1700.0,20.0,80.0,28.0,4.4,3,none,800.0,317.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car recommended
1330.0,660.0,35.0,117.0,78.0,1.6,1,none,0.0,576.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
2810.0,1160.0,30.3,109.0,40.0,0.4,2,none,1170.0,390.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
2030.0,770.0,13.3,44.0,33.0,6.9,3,none,710.0,335.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car not recommended
3420.0,2610.0,19.5,55.0,36.0,8.0,4,motorbike,0.0,499.0,Debt is manageable,Emergency fund adequate,Invest moderately,Car recommended
5900.0,2980.0,24.2,107.0,42.0,1.3,5,motorbike,0.0,1501.0,Debt is manageable,Emergency fund adequate,Invest moderately,Car recommended
1610.0,810.0,29.6,95.0,41.0,1.0,3,bicycle,0.0,659.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
3200.0,1580.0,26.9,93.0,40.0,0.9,2,none,1010.0,346.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car recommended
4720.0,2830.0,12.2,40.0,27.0,2.1,4,motorbike,1280.0,498.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car not recommended
4370.0,3420.0,32.4,98.0,61.0,3.8,4,motorbike,0.0,578.0,Debt is manageable,Emergency fund adequate,Invest moderately,Car recommended
680.0,430.0,36.9,180.0,60.0,0.4,1,none,0.0,192.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
1170.0,510.0,24.6,119.0,26.0,0.4,2,none,0.0,553.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
1210.0,870.0,8.5,62.0,15.0,0.5,1,none,0.0,212.0,Debt is manageable,Emergency fund adequate,Invest moderately,Car recommended
560.0,420.0,38.6,177.0,88.0,1.4,2,none,130.0,13.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Car recommended
5300.0,2580.0,5.0,72.0,16.0,0.2,5,none,2080.0,654.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
1180.0,890.0,21.3,92.0,45.0,1.8,2,none,600.0,0.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
2260.0,1640.0,13.7,75.0,24.0,0.8,2,motorbike,0.0,418.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
4420.0,3240.0,23.4,61.0,64.0,2.7,3,none,1680.0,0.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car not recommended
3350.0,1230.0,20.5,65.0,48.0,1.7,1,car,0.0,1145.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Consider later
710.0,320.0,19.3,81.0,32.0,1.3,2,bicycle,0.0,178.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
3190.0,1520.0,41.4,163.0,85.0,0.2,5,car,0.0,1094.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Consider later
4230.0,2970.0,41.3,180.0,47.0,0.2,6,motorbike,0.0,1262.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
1310.0,650.0,15.6,58.0,8.0,1.2,1,none,490.0,126.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
6320.0,4140.0,2.1,51.0,13.0,0.4,2,motorbike,0.0,2136.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
4940.0,2060.0,19.7,62.0,24.0,2.3,3,motorbike,2570.0,273.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
1290.0,980.0,24.1,113.0,53.0,2.3,2,bicycle,600.0,0.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
4890.0,1990.0,12.4,60.0,36.0,1.5,5,motorbike,2270.0,433.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car not recommended
2890.0,1870.0,40.3,180.0,77.0,0.2,1,bicycle,310.0,606.0,Debt is manageable,Build emergency fund,Invest moderately,Car recommended
600.0,310.0,39.8,147.0,54.0,0.3,1,bicycle,310.0,0.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
1450.0,760.0,0.9,71.0,5.0,0.2,3,none,0.0,501.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
6580.0,4570.0,36.0,155.0,50.0,1.5,6,none,0.0,1372.0,Debt is manageable,Emergency fund adequate,Invest moderately,Car recommended
1610.0,830.0,38.9,115.0,61.0,3.0,1,motorbike,330.0,374.0,Debt is manageable,Emergency fund adequate,Do not invest aggressively,Car recommended
1220.0,760.0,19.3,130.0,35.0,0.1,3,bicycle,330.0,91.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Car recommended
3360.0,2180.0,5.5,56.0,9.0,0.4,4,none,0.0,1123.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
4000.0,2720.0,13.5,60.0,36.0,2.8,5,none,0.0,806.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Consider later
3870.0,2260.0,41.3,180.0,52.0,0.4,4,none,0.0,1085.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
1770.0,1170.0,6.6,29.0,5.0,3.6,3,car,750.0,0.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car not recommended
2400.0,2000.0,35.3,154.0,47.0,1.5,6,motorbike,0.0,236.0,Debt is manageable,Emergency fund adequate,Do not invest aggressively,Car recommended
6450.0,3200.0,39.5,180.0,71.0,0.3,5,motorbike,3520.0,0.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
1150.0,500.0,1.3,16.0,8.0,1.6,2,none,430.0,191.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car not recommended
6190.0,3480.0,0.8,17.0,5.0,2.3,2,none,1760.0,823.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car not recommended
3730.0,2410.0,9.8,113.0,8.0,0.1,4,car,2040.0,0.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car not recommended
3180.0,1970.0,42.4,140.0,61.0,4.0,1,none,1320.0,0.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car not recommended
420.0,160.0,22.1,73.0,30.0,5.8,1,none,0.0,194.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
400.0,240.0,0.6,17.0,5.0,1.7,2,motorbike,80.0,54.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Car not recommended
1290.0,820.0,17.8,69.0,42.0,5.6,1,motorbike,620.0,6.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
5630.0,2920.0,20.0,70.0,30.0,2.9,6,motorbike,2180.0,409.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
1010.0,520.0,14.7,81.0,29.0,0.3,2,none,320.0,151.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car recommended
3300.0,2490.0,26.9,146.0,46.0,0.1,2,none,0.0,536.0,Debt is manageable,Emergency fund adequate,Invest moderately,Car recommended
5830.0,2770.0,29.4,112.0,44.0,1.4,4,bicycle,2500.0,502.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
830.0,430.0,12.0,57.0,22.0,1.5,2,none,310.0,73.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car not recommended
2480.0,1470.0,16.9,98.0,32.0,0.3,5,none,0.0,1008.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
3160.0,2410.0,8.2,63.0,19.0,0.2,2,car,900.0,4.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car not recommended
2020.0,900.0,1.1,41.0,5.0,0.4,2,motorbike,720.0,236.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
2110.0,900.0,29.6,118.0,28.0,3.2,1,motorbike,660.0,355.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Car recommended
5760.0,4430.0,37.5,113.0,53.0,0.8,4,motorbike,2780.0,0.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
2540.0,1780.0,12.6,64.0,14.0,0.5,5,none,0.0,743.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
2310.0,1540.0,10.0,103.0,8.0,0.2,3,motorbike,0.0,502.0,Debt is manageable,Emergency fund adequate,Invest moderately,Car recommended
2240.0,1480.0,18.2,86.0,26.0,1.4,3,motorbike,0.0,715.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
930.0,340.0,25.0,115.0,52.0,0.7,1,none,370.0,201.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
6380.0,4710.0,5.8,55.0,10.0,0.5,3,car,0.0,1045.0,Debt is manageable,Emergency fund adequate,Invest moderately,Consider later
4660.0,2430.0,26.6,101.0,38.0,4.3,2,bicycle,0.0,1323.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
6990.0,3460.0,12.6,46.0,23.0,1.8,4,none,0.0,2008.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
4140.0,2270.0,8.8,75.0,24.0,0.3,3,car,1230.0,521.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car not recommended
1310.0,540.0,11.9,104.0,8.0,0.2,1,none,570.0,166.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
3770.0,2040.0,3.7,59.0,5.0,0.2,6,none,0.0,1244.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
2690.0,1150.0,37.3,157.0,101.0,6.0,2,car,0.0,1207.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Consider later
6140.0,4520.0,43.9,180.0,74.0,0.2,5,bicycle,0.0,1369.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
5760.0,2370.0,38.0,133.0,65.0,2.6,4,none,0.0,1907.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
5730.0,2640.0,1.5,90.0,5.0,0.1,5,none,0.0,2050.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
540.0,320.0,26.9,72.0,41.0,1.8,2,none,0.0,126.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
4110.0,3080.0,35.9,162.0,68.0,0.2,6,none,1900.0,0.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
550.0,290.0,17.3,123.0,36.0,0.3,2,car,290.0,33.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car not recommended
2110.0,1340.0,22.4,104.0,49.0,0.4,2,motorbike,340.0,224.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Car recommended
900.0,560.0,26.1,106.0,27.0,0.7,1,none,0.0,224.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
3140.0,1940.0,2.4,20.0,5.0,2.3,2,motorbike,1010.0,178.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car not recommended
2170.0,1240.0,7.2,51.0,12.0,1.2,3,none,840.0,27.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car not recommended
2890.0,2010.0,24.5,81.0,69.0,1.1,2,none,0.0,534.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
700.0,430.0,15.7,46.0,37.0,2.0,2,none,380.0,1.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
5260.0,3470.0,40.8,96.0,63.0,4.1,6,car,0.0,1326.0,Debt is manageable,Emergency fund adequate,Invest moderately,Consider later
2770.0,1530.0,22.9,85.0,28.0,1.8,5,bicycle,420.0,650.0,Debt is manageable,Emergency fund adequate,Do not invest aggressively,Car recommended
4250.0,2150.0,35.3,180.0,61.0,0.1,3,bicycle,0.0,1161.0,Debt is manageable,Emergency fund adequate,Invest moderately,Car recommended
1250.0,650.0,25.3,133.0,46.0,0.2,2,car,180.0,232.0,Debt is manageable,Emergency fund adequate,Do not invest aggressively,Consider later
2710.0,1190.0,42.2,180.0,91.0,0.2,4,none,0.0,1300.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
410.0,230.0,43.8,180.0,92.0,0.3,2,none,0.0,156.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
4530.0,1990.0,11.8,91.0,26.0,0.2,4,car,0.0,1557.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Consider later
590.0,360.0,11.4,67.0,25.0,0.9,1,none,110.0,91.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Car recommended
2490.0,1800.0,9.3,45.0,24.0,1.1,1,bicycle,1150.0,10.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car not recommended
3210.0,2460.0,15.5,74.0,25.0,0.7,3,car,0.0,520.0,Debt is manageable,Emergency fund adequate,Invest moderately,Consider later
5540.0,3350.0,27.6,146.0,58.0,0.1,2,motorbike,0.0,2024.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
1180.0,710.0,25.2,95.0,51.0,0.6,1,bicycle,0.0,465.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
530.0,320.0,34.2,159.0,80.0,0.2,2,motorbike,200.0,0.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
780.0,470.0,10.2,109.0,23.0,0.1,1,motorbike,140.0,90.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Car recommended
3000.0,2020.0,1.1,12.0,10.0,2.1,1,none,1110.0,0.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car not recommended
3160.0,2330.0,11.0,102.0,11.0,0.2,1,bicycle,0.0,463.0,Debt is manageable,Emergency fund adequate,Invest moderately,Car recommended
1250.0,600.0,44.3,147.0,116.0,0.3,2,none,350.0,234.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Car recommended
5160.0,3490.0,20.0,106.0,30.0,0.8,3,none,1560.0,97.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Car recommended
1280.0,650.0,18.7,128.0,27.0,0.1,3,none,0.0,591.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
1940.0,1190.0,33.6,155.0,39.0,0.6,3,motorbike,530.0,185.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Car recommended
5730.0,4350.0,39.5,129.0,59.0,1.2,5,none,0.0,1215.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
3420.0,2230.0,29.0,130.0,40.0,0.3,4,none,0.0,646.0,Debt is manageable,Emergency fund adequate,Invest moderately,Car recommended
1670.0,660.0,42.4,172.0,69.0,3.0,3,none,0.0,734.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
1260.0,790.0,37.4,103.0,46.0,1.8,1,motorbike,0.0,237.0,Debt is manageable,Emergency fund adequate,Invest moderately,Car recommended
3040.0,1270.0,26.8,77.0,27.0,4.0,5,car,0.0,1167.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Consider later
6920.0,5350.0,36.4,153.0,54.0,0.1,5,none,0.0,843.0,Debt is manageable,Emergency fund adequate,Invest moderately,Car recommended
420.0,150.0,39.0,96.0,47.0,3.3,1,none,0.0,224.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
2480.0,1300.0,39.8,180.0,67.0,0.1,4,none,0.0,840.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
5380.0,3330.0,38.9,176.0,71.0,0.9,2,none,2760.0,2.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
830.0,560.0,8.1,39.0,29.0,4.9,2,none,160.0,69.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Car not recommended
3140.0,1850.0,11.4,70.0,23.0,0.4,3,bicycle,840.0,246.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Car recommended
1690.0,630.0,38.2,129.0,38.0,0.5,2,motorbike,410.0,325.0,Debt is manageable,Emergency fund adequate,Invest moderately,Car recommended
1730.0,990.0,28.0,84.0,69.0,1.4,1,none,710.0,54.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
6060.0,4260.0,5.3,40.0,5.0,1.1,6,none,1010.0,407.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Car not recommended
2310.0,1190.0,30.6,113.0,54.0,3.3,3,bicycle,420.0,629.0,Debt is manageable,Emergency fund adequate,Invest moderately,Car recommended
1200.0,620.0,40.7,180.0,91.0,0.1,2,motorbike,0.0,416.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
1130.0,450.0,12.2,82.0,6.0,0.5,2,motorbike,0.0,583.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
1210.0,630.0,22.8,133.0,60.0,0.2,2,car,0.0,401.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
6030.0,3960.0,12.4,63.0,32.0,1.8,4,none,0.0,1524.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
860.0,380.0,31.5,120.0,43.0,5.8,1,motorbike,0.0,268.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
2810.0,1720.0,36.8,133.0,56.0,2.4,5,none,0.0,542.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
2950.0,1480.0,39.9,154.0,73.0,0.5,2,motorbike,0.0,1030.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
4480.0,2980.0,2.3,47.0,5.0,0.6,4,none,0.0,1053.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
6330.0,3770.0,30.4,130.0,63.0,0.8,5,none,0.0,1668.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
3210.0,2300.0,34.6,123.0,82.0,0.6,4,none,710.0,167.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Car recommended
5650.0,3190.0,38.5,115.0,69.0,1.5,3,motorbike,1290.0,618.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Car recommended
6050.0,4330.0,18.1,57.0,30.0,2.3,3,none,1910.0,30.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car recommended
560.0,280.0,29.6,115.0,63.0,6.7,1,motorbike,310.0,25.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
1280.0,880.0,43.3,172.0,87.0,0.1,1,none,0.0,363.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
1220.0,1000.0,9.0,59.0,10.0,0.8,3,none,0.0,133.0,Debt is manageable,Emergency fund adequate,Invest moderately,Car recommended
1220.0,470.0,35.5,180.0,49.0,0.1,1,none,0.0,548.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
6750.0,3210.0,11.6,57.0,15.0,2.2,4,motorbike,0.0,2063.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Consider later
1390.0,990.0,20.5,78.0,39.0,1.1,1,none,0.0,205.0,Debt is manageable,Emergency fund adequate,Invest moderately,Car recommended
1790.0,700.0,38.6,180.0,46.0,0.2,1,motorbike,0.0,1022.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
1760.0,660.0,2.3,11.0,12.0,2.7,1,motorbike,0.0,943.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Consider later
5450.0,2320.0,14.2,91.0,39.0,0.3,6,none,0.0,2896.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
1210.0,830.0,37.0,169.0,53.0,0.8,1,motorbike,410.0,3.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car recommended
940.0,400.0,7.6,88.0,16.0,0.2,2,car,0.0,290.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Consider later
1200.0,620.0,27.1,169.0,61.0,0.1,2,motorbike,0.0,395.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
5740.0,3250.0,25.0,72.0,52.0,2.3,5,none,0.0,1418.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
6640.0,4780.0,8.5,48.0,18.0,1.5,3,motorbike,0.0,1135.0,Debt is manageable,Emergency fund adequate,Invest moderately,Car recommended
6460.0,2550.0,16.2,83.0,16.0,0.6,5,none,1830.0,1163.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car recommended
3170.0,1730.0,32.2,102.0,38.0,3.4,1,motorbike,0.0,753.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
1340.0,880.0,9.4,55.0,25.0,2.5,1,bicycle,350.0,116.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car not recommended
